canal,tvg_id,categoria,url_original,status,resultado,url_final
Aratu On,AratuOn.br,Canais Abertos,https://cdn.live.br1.jmvstream.com/w/LVW-9359/LVW9359_XSyReL0QVf/playlist.m3u8,OK,200/200,https://cdn.live.br1.jmvstream.com/w/LVW-9359/LVW9359_XSyReL0QVf/playlist.m3u8
Arte 1 (720p),Arte1.br,Documentarios e Outros,http://45.162.64.114/ARTE1/index.m3u8,OK,206/206,http://45.162.64.114/ARTE1/index.m3u8
Auge TV (720p),AugeTV.br,Canais Abertos,https://cdn-tiva-video01-logicahost-com-br.smartbit.co/canalaugetv/canalaugetv/playlist.m3u8,OFF,URLError,https://cdn-tiva-video01-logicahost-com-br.smartbit.co/canalaugetv/canalaugetv/playlist.m3u8
Avatar: A lenda de Aang,AvatarAlendadeAang.us,Desenhos e Animes,https://jmp2.uk/plu-6759eeb1bd523200083b4f29.m3u8,OK,200/200,https://jmp2.uk/plu-6759eeb1bd523200083b4f29.m3u8
AWTV (1080p) [Geo-blocked],AWTV.br,Filmes e Series,https://awtv.nuvemplay.live/hls/stream.m3u8,OK,206/206,https://awtv.nuvemplay.live/hls/stream.m3u8
AXN (Brazil) (720p),AXN.br,Filmes e Series,http://170.83.16.50/AXN/index.m3u8,OK,206/206,http://170.83.16.50/AXN/index.m3u8
BabyFirst Brazil,BabyFirst.us,Desenhos e Animes,https://jmp2.uk/plu-5f4fb4cf605ddf000748e16f.m3u8,OK,200/200,https://jmp2.uk/plu-5f4fb4cf605ddf000748e16f.m3u8
Band (720p),Band.br,Canais Abertos,http://170.84.165.204/BAND_HD/index.m3u8,INCONCLUSIVO,geo/auth 403,http://170.84.165.204/BAND_HD/index.m3u8
Band Sports (1080p),BandSports.br,Canais Abertos,https://cdn-5.nxplay.com.br/BAND_SPORTS/index.m3u8,INCONCLUSIVO,geo/auth 403,https://cdn-5.nxplay.com.br/BAND_SPORTS/index.m3u8
BandNews (1080p),BandNews.br,Noticias,https://cdn-5.nxplay.com.br/BAND_NEWS/index.m3u8,INCONCLUSIVO,geo/auth 403,https://cdn-5.nxplay.com.br/BAND_NEWS/index.m3u8
Bem Melhor (720p),BemMelhor.br,Canais Abertos,https://cdn-tiva-video01-logicahost-com-br.smartbit.co/bemmelhor/bemmelhor/playlist.m3u8,OFF,URLError,https://cdn-tiva-video01-logicahost-com-br.smartbit.co/bemmelhor/bemmelhor/playlist.m3u8
BET Pluto TV (United States) BR,BETPlutoTV.us,Documentarios e Outros,https://jmp2.uk/plu-5ff768b6a4c8b80008498610.m3u8,OK,200/200,https://jmp2.uk/plu-5ff768b6a4c8b80008498610.m3u8
Blitstv,Blitstv.br,Documentarios e Outros,https://stmv1.transmissaodigital.com/blitstv/blitstv/playlist.m3u8,OFF,RemoteDisconnected,https://stmv1.transmissaodigital.com/blitstv/blitstv/playlist.m3u8
BM&C News (720p),BMCNews.br,Noticias,https://jmp2.uk/plu-666c9c60a7efd40008f552f0.m3u8,OK,200/200,https://jmp2.uk/plu-666c9c60a7efd40008f552f0.m3u8
Boas Novas (1080p),BoasNovas.br,Documentarios e Outros,https://cdn.jmvstream.com/w/LVW-9375/LVW9375_6i0wPBCHYc/playlist.m3u8,OK,200/200,https://cdn.jmvstream.com/w/LVW-9375/LVW9375_6i0wPBCHYc/playlist.m3u8
Bob Esponja Calca Quadrada (720p),BobEsponjaCalcaQuadrada.us,Desenhos e Animes,https://jmp2.uk/plu-62545c0b002f4b0007688b61.m3u8,OK,200/200,https://jmp2.uk/plu-62545c0b002f4b0007688b61.m3u8
Box Kids TV (720p),BoxKidsTV.br,Desenhos e Animes,http://170.83.49.66:8083/BOXKIDSHD/index.m3u8,OK,206/206,http://170.83.49.66:8083/BOXKIDSHD/index.m3u8
